"id","grade","cal_year","measure","score","time","program_year","time_cont","student_year","domain_type","grade_diff","start_grade_diff","fall_score","spring_score","raw_growth","start_grade_diff_c","time_c"
"1011517",4,2016,"calc",3.3,1,1,1,"1011517_2016","math",-0.7,-0.7,3.3,3.7,0.4,-0.281214452994313,-1.04895489548955
"1011517",4,2016,"comp",3,1,1,1,"1011517_2016","composite",-1,-1,3,3.5,0.5,-0.581214452994312,-1.04895489548955
"1011517",4,2016,"psdi",2.3,1,1,1,"1011517_2016","math",-1.7,-1.7,2.3,3.2,0.9,-1.28121445299431,-1.04895489548955
"1011517",4,2016,"mf",2.7,1,1,1,"1011517_2016","math",-1.3,-1.3,2.7,5.1,2.4,-0.881214452994312,-1.04895489548955
"1012325",2,2024,"rc",NA,1,1,1,"1012325_2024","reading",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1012325",2,2024,"lwid",0.5,1,1,1,"1012325_2024","reading",-1.5,-1.5,0.5,1.6,1.1,-1.08121445299431,-1.04895489548955
"1012325",2,2024,"wa",1.8,1,1,1,"1012325_2024","reading",-0.2,-0.2,1.8,3.2,1.4,0.218785547005688,-1.04895489548955
"1012325",2,2024,"rf",NA,1,1,1,"1012325_2024","reading",NA,NA,NA,0.4,NA,NA,-1.04895489548955
"1012325",2,2024,"ws",0,1,1,1,"1012325_2024","writing",-2,-2,0,1.4,1.4,-1.58121445299431,-1.04895489548955
"1012325",2,2024,"we",NA,1,1,1,"1012325_2024","other",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1012325",2,2024,"ed",NA,1,1,1,"1012325_2024","other",NA,NA,NA,1.2,NA,NA,-1.04895489548955
"1012325",2,2024,"towl",3,1,1,1,"1012325_2024","other",1,1,3,3,0,1.41878554700569,-1.04895489548955
"1012325",2,2024,"comp",NA,1,1,1,"1012325_2024","composite",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1012325",2,2024,"ce",NA,1,1,1,"1012325_2024","math",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1012325",2,2024,"calc",0.9,1,1,1,"1012325_2024","math",-1.1,-1.1,0.9,3.1,2.2,-0.681214452994312,-1.04895489548955
"1012325",2,2024,"mf",1.9,1,1,1,"1012325_2024","math",-0.1,-0.1,1.9,4.6,2.7,0.318785547005687,-1.04895489548955
"101517",7,2015,"rc",4.6,1,1,1,"101517_2015","reading",-2.4,-2.4,4.6,7.4,2.8,-1.98121445299431,-1.04895489548955
"101517",7,2015,"lwid",9,1,1,1,"101517_2015","reading",2,2,9,9.6,0.6,2.41878554700569,-1.04895489548955
"101517",7,2015,"wa",12.9,1,1,1,"101517_2015","reading",5.9,5.9,12.9,12.4,-0.5,6.31878554700569,-1.04895489548955
"101517",7,2015,"rf",6.4,1,1,1,"101517_2015","reading",-0.6,-0.6,6.4,8.5,2.1,-0.181214452994312,-1.04895489548955
"101517",7,2015,"cap",NA,1,1,1,"101517_2015","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
"101517",7,2015,"punc",NA,1,1,1,"101517_2015","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
